"Rank","State","Data",

"1","Michigan MI","35.8%",
"2","Maine ME","35.7%",
"3","Minnesota MN","35.5%",
"4","Oregon OR","35.2%",
"5","Colorado CO","33.2%",
"6","Pennsylvania PA","31%",
"7","Washington WA","28.7%",
"8","Montana MT","28.4%",
"9","Iowa IA","26.5%",
"10","Georgia GA","26.4%",
"11","Vermont VT","25.4%",
"12","Arizona AZ","25.3%",
"13","Nevada NV","25.1%",
"14","North Carolina NC","23.2%",
"15","Virginia VA","23%",
"16","Florida FL","22.2%",
"17","Connecticut CT","21.8%",
"18","Texas TX","21.8%",
"19","California CA","21.5%",
"20","Kentucky KY","21.5%",
"21","Nebraska NE","21.5%",
"22","Ohio OH","21.3%",
"23","Kansas KS","21.2%",
"24","New Jersey NJ","20.5%",
"25","New Mexico NM","20.1%",
"26","New York NY","19.8%",
"27","Missouri MO","19.5%",
"28","South Carolina SC","18.4%",
"29","Idaho ID","18.3%",
"30","Delaware DE","18.2%",
"31","Massachusetts MA","18.2%",
"32","Rhode Island RI","17.6%",
"33","South Dakota SD","17.6%",
"34","Arkansas AR","16.9%",
"35","Louisiana LA","15.5%",
"36","Oklahoma OK","15.4%",
"37","Alabama AL","14.6%",
"38","Indiana IN","14.6%",
"39","West Virginia WV","13.8%",
"40","Tennessee TN","12.7%",
"41","Alaska AK","no data",
"42","District of Columbia DC","no data",
"43","Hawaii HI","no data",
"44","Illinois IL","no data",
"45","Maryland MD","no data",
"46","Mississippi MS","no data",
"47","New Hampshire NH","no data",
"48","North Dakota ND","no data",
"49","Utah UT","no data",
"50","Wisconsin WI","no data",
"51","Wyoming WY","no data",
"52","ALL US","27%"
